Age,overweight.boy,overweight.girl,,obese.boy,obese.girl
2,18.36,18.09,,19.99,19.81
3,17.85,17.64,,19.5,19.38
4,17.52,17.35,,19.23,19.16
5,17.39,17.23,,19.27,19.2
6,17.52,17.33,,19.76,19.61
7,17.88,17.69,,20.59,20.39
8,18.41,18.28,,21.56,21.44
9,19.07,18.99,,22.71,22.66
10,19.8,19.78,,23.96,23.97
11,20.51,20.66,,25.07,25.25
12,21.2,21.59,,26.02,26.47
13,21.89,22.49,,26.87,27.57
14,22.6,23.27,,27.64,28.42
15,23.28,23.89,,28.32,29.01
16,23.89,24.34,,28.89,29.4
17,24.46,24.7,,29.43,29.7
18,25,25,,30,30
19,25,25,,30,30
20,25,25,,30,30
21,25,25,,30,30
