Variable,ClassVal0,ClassVal0,ClassVal1,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,,,1,-208.1,70.6024,8.6865,0.0032
r1stchildethn,2,2,,1,52.7182,15.5813,11.4477,0.0007
r1stchildethn,3,3,,1,10.9565,12.7179,0.7422,0.389
SESBTH,2,2,,1,-0.1077,1.1123,0.0094,0.9229
SESBTH,3,3,,1,-0.00164,1.2861,0,0.999
z1single0,1,,,1,0.6581,1.3149,0.2505,0.6167
ga,,,,1,10.6385,3.583,8.8159,0.003
ga*ga,,,,1,-0.1353,0.0456,8.8098,0.003
pregsmk,,,,1,0.065,0.064,1.0322,0.3097
fhrswrk,,,,1,0.0353,0.0123,8.2547,0.0041
SESBTH_eth,5,2,2,1,4.5333,1.3757,10.8589,0.001
SESBTH_eth,8,2,3,0,0,,,
SESBTH_eth,6,3,2,1,0.1867,1.7056,0.012,0.9128
SESBTH_eth,9,3,3,1,0.7267,1.9226,0.1429,0.7055
z1single0_eth,2,2,,1,3.855,2.0129,3.6677,0.0555
z1single0_eth,3,3,,1,-1.7315,2.1027,0.6781,0.4102
ga*r1stchildethn,2,2,,1,-1.482,0.4148,12.7659,0.0004
ga*r1stchildethn,3,3,,1,-0.281,0.3174,0.7841,0.3759
pregsmk*r1stchildethn,2,2,,1,0.3098,0.1273,5.9218,0.015
pregsmk*r1stchildethn,3,3,,1,-0.1526,0.0954,2.5614,0.1095
