Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,_ESTTYPE_
Intercept,,1,-2.4528,0.479,26.2218,<.0001,MLE
age,,1,0.1287,0.0125,106.2246,<.0001,MLE
z1gender,1,1,0.229,0.0847,7.3133,0.0068,MLE
r1stchildethn,2,1,-0.6841,0.2158,10.0437,0.0015,MLE
r1stchildethn,3,1,0.00287,0.1284,0.0005,0.9822,MLE
SESBTH,2,1,0.1587,0.1356,1.3706,0.2417,MLE
SESBTH,3,1,0.4109,0.1489,7.6106,0.0058,MLE
r1stmeduc,2,1,0.4773,0.1582,9.1011,0.0026,MLE
r1stmeduc,3,1,0.7173,0.1532,21.9325,<.0001,MLE
kids,,1,0.2654,0.0379,48.9796,<.0001,MLE
msmoke,,1,0.0304,0.00479,40.2719,<.0001,MLE
z1chpar,1,1,0.6311,0.1258,25.1499,<.0001,MLE
mhrswrk,,1,-0.0728,0.00376,374.5852,<.0001,MLE
fhrswrk,,1,-0.0697,0.00241,835.4143,<.0001,MLE
z1homeown,1,1,0.6139,0.1005,37.3262,<.0001,MLE
z1accom,1,1,0.6493,0.1364,22.6557,<.0001,MLE
z1single,1,1,2.1619,0.1183,333.8906,<.0001,MLE
bwkg,,1,-0.2961,0.0776,14.5765,0.0001,MLE
pregalc,,1,-0.0339,0.0169,4.0306,0.0447,MLE
