"","Var","Year","Mean","Lower","Upper"
"1","Overweight",2,29.1,27.8,30.2
"2","Overweight",3,29.3,28.3,30.6
"3","Overweight",4,29.6,28.6,30.9
"4","Overweight",5,30,28.8,31.4
"5","Overweight",6,30.4,29.5,31.5
"6","Overweight",7,31.1,29.7,32.2
"7","Overweight",8,31.6,30.6,32.7
"8","Overweight",9,32.4,31.5,33.5
"9","Overweight",10,33.1,31.9,34.2
"10","Overweight",11,34.1,32.9,35.2
"11","Overweight",12,34.9,33.9,36.1
"12","Overweight",13,35.8,34.7,36.8
"13","Overweight",14,36.8,35,38.1
"14","Overweight",15,37.8,36.7,38.7
"15","Overweight",16,39.3,37.7,40.4
"16","Overweight",17,40.4,39.2,41.6
"17","Overweight",18,41.7,40.1,43
"18","Overweight",19,43.2,42,44.5
"19","Overweight",20,44.6,43.2,45.7
"20","Overweight",21,46.2,44.8,47.4
