,Overweight Percentage,SD
run1.0,0.6427,0
run2.0,0.64331,0.000431335
run3.0,0.646,0.001755857
run4.0,0.64423,0.001438124
run5.0,0.64514,0.001335826
run6.0,0.64584,0.001354705
run7.0,0.64496,0.001246979
run8.0,0.64507,0.00116652
run9.0,0.64693,0.001328575
run10.0,0.64715,0.001439182
run11.0,0.64342,0.001459754
run12.0,0.64575,0.001409583
run13.0,0.64289,0.001475627
run14.0,0.64654,0.00148584
run15.0,0.64754,0.001575381
run16.0,0.64526,0.00152215
run17.0,0.64566,0.001478587
run18.0,0.64815,0.00159414
run19.0,0.64476,0.001555397
run20.0,0.64591,0.001519427
run21.0,0.64464,0.001489277
run22.0,0.64468,0.0014599
run23.0,0.64532,0.001426343
run24.0,0.64454,0.001403542
run25.0,0.64728,0.001431802
run26.0,0.64336,0.001455979
run27.0,0.64513,0.001427961
run28.0,0.64536,0.001401382
run29.0,0.64529,0.001376136
run30.0,0.64622,0.001363296
run31.0,0.64661,0.001360844
run32.0,0.64637,0.001350964
run33.0,0.64722,0.001367913
run34.0,0.64479,0.001351509
run35.0,0.6458,0.001333097
run36.0,0.64532,0.001314027
run37.0,0.64502,0.001297321
run38.0,0.6459,0.001282139
run39.0,0.64559,0.00126544
run40.0,0.64632,0.001257067
run41.0,0.64806,0.001306505
run42.0,0.64402,0.001310874
run43.0,0.64798,0.001350233
run44.0,0.64483,0.001338673
run45.0,0.64659,0.00133296
run46.0,0.64425,0.001331789
run47.0,0.64633,0.001322584
run48.0,0.64481,0.001312588
run49.0,0.64585,0.001299712
run50.0,0.64698,0.00130275
run51.0,0.6469,0.001303369
run52.0,0.64689,0.001303255
run53.0,0.64412,0.001306682
run54.0,0.64614,0.001296562
run55.0,0.64775,0.001317184
run56.0,0.64457,0.001312772
run57.0,0.64476,0.001305836
run58.0,0.6442,0.00130719
run59.0,0.64461,0.001301872
run60.0,0.64676,0.001300168
run61.0,0.64548,0.001289343
run62.0,0.64636,0.001282648
run63.0,0.64301,0.001312943
run64.0,0.6438,0.001320582
run65.0,0.64576,0.001310574
run66.0,0.64612,0.001302551
run67.0,0.64712,0.001307181
run68.0,0.64656,0.001303129
run69.0,0.64567,0.001293571
run70.0,0.6451,0.001285385
run71.0,0.64497,0.001278104
run72.0,0.64527,0.001269512
run73.0,0.64441,0.001267705
run74.0,0.64407,0.001270446
run75.0,0.64512,0.001262655
run76.0,0.64319,0.001282112
run77.0,0.64251,0.001317816
run78.0,0.64216,0.001360891
run79.0,0.64236,0.001394673
run80.0,0.64222,0.001429583
run81.0,0.64717,0.001435408
run82.0,0.64375,0.001437329
run83.0,0.6464,0.001433414
run84.0,0.64452,0.001427537
run85.0,0.64534,0.001419015
run86.0,0.64606,0.001412855
run87.0,0.64411,0.00141075
run88.0,0.64328,0.001419403
run89.0,0.64385,0.001419642
run90.0,0.64621,0.001415028
run91.0,0.64321,0.001423977
run92.0,0.64523,0.001416137
run93.0,0.64584,0.001409664
run94.0,0.64405,0.001407748
run95.0,0.64634,0.0014046
run96.0,0.64658,0.001403535
run97.0,0.64573,0.00139693
run98.0,0.64428,0.001393463
run99.0,0.64594,0.001387915
run100.0,0.64662,0.001387296
