"","School","Female","Male"
"1","AKL1",50.8583296003962,49.1416703996038
"2","AKL10",48.3433478635677,51.6566521364323
"3","AKL11",47.1496264139934,52.8503735860066
"4","AKL12",100,0
"5","AKL13",48.5001571675414,51.4998428324586
"6","AKL14",0,100
"7","AKL15",45.3882060789974,54.6117939210026
"8","AKL16",44.2628312154067,55.7371687845933
"9","AKL17",100,0
"10","AKL18",54.3271922037181,45.6728077962819
"11","AKL19",49.9679554008381,50.0320445991619
"12","AKL2",49.4534200586594,50.5465799413406
"13","AKL20",49.1141877715154,50.8858122284846
"14","AKL21",0,100
"15","AKL22",45.8384576024842,54.1615423975158
"16","AKL23",49.3412152027455,50.6587847972545
"17","AKL3",100,0
"18","AKL4",50.0731732013712,49.9268267986288
"19","AKL5",46.8791080879839,53.1208919120161
"20","AKL6",52.199180333976,47.800819666024
"21","AKL7",46.5341384289007,53.4658615710993
"22","AKL8",45.933586245268,54.066413754732
"23","AKL9",100,0
"24","BOP1",43.364887713197,56.635112286803
"25","BOP2",100,0
"26","BOP3",43.8084923282217,56.1915076717783
"27","BOP4",47.9300616967825,52.0699383032175
"28","BOP5",44.1497252747253,55.8502747252747
"29","BOP6",46.5837713062336,53.4162286937664
"30","BOP7",50.5242842218715,49.4757157781285
"31","CAN1",49.1297933513055,50.8702066486945
"32","CAN10",54.4311241698787,45.5688758301213
"33","CAN11",51.014256243833,48.985743756167
"34","CAN12",54.1173730338348,45.8826269661652
"35","CAN2",100,0
"36","CAN3",0,100
"37","CAN4",50.5895649126992,49.4104350873008
"38","CAN5",47.5805151992601,52.4194848007399
"39","CAN6",55.5113834935125,44.4886165064875
"40","CAN7",54.3521904429323,45.6478095570677
"41","CAN8",52.4915960394468,47.5084039605532
"42","CAN9",51.532950615356,48.467049384644
"43","GIS1",61.2200789406672,38.7799210593328
"44","GIS2",63.249766573296,36.750233426704
"45","GIS3",61.1403239676321,38.8596760323679
"46","HB1",48.3683266575978,51.6316733424022
"47","HB2",100,0
"48","HB3",45.2500187720776,54.7499812279224
"49","HB4",50.5050643408946,49.4949356591054
"50","HB5",47.525553814167,52.474446185833
"51","MAN1",45.9385663191305,54.0614336808695
"52","MAN2",44.485714312609,55.514285687391
"53","MAN3",43.6339770188652,56.3660229811348
"54","MAN4",100,0
"55","MAN5",41.9572326121517,58.0427673878483
"56","MAN6",41.5073815946718,58.4926184053282
"57","MAR1",0,100
"58","NEL1",54.2372881355932,45.7627118644068
"59","NTH1",0,100
"60","NTH2",57.9007455803794,42.0992544196206
"61","NTH3",59.970340520001,40.029659479999
"62","NTH4",56.159991216513,43.840008783487
"63","NTH5",60.6899204598098,39.3100795401902
"64","NTH6",61.269974738531,38.730025261469
"65","NTH7",59.1224125811908,40.8775874188092
"66","OTA1",43.7222088506969,56.2777911493031
"67","OTA2",43.8505354779461,56.1494645220539
"68","OTA3",45.4847012549029,54.5152987450971
"69","OTA4",100,0
"70","OTA5",47.9635869766577,52.0364130233423
"71","OTA6",47.186073678095,52.813926321905
"72","STH1",51.9384406938459,48.0615593061541
"73","STH2",50.8114128194048,49.1885871805952
"74","STH3",52.220787850361,47.779212149639
"75","TAR1",56.0085985352576,43.9914014647424
"76","TAR2",60.0983193761204,39.9016806238796
"77","TAR3",59.8621903513828,40.1378096486172
"78","TAS1",46.8085106382979,53.1914893617021
"79","WAI1",51.6798883470165,48.3201116529835
"80","WAI10",49.8538727728854,50.1461272271146
"81","WAI11",53.1421241465601,46.8578758534399
"82","WAI2",46.9213402940101,53.0786597059899
"83","WAI3",48.7644617310154,51.2355382689846
"84","WAI4",48.1663397741785,51.8336602258215
"85","WAI5",49.5321976512273,50.4678023487727
"86","WAI6",48.1099355147842,51.8900644852158
"87","WAI7",52.1106486860425,47.8893513139575
"88","WAI8",52.9913407598489,47.0086592401511
"89","WAI9",51.1886638290293,48.8113361709707
"90","WEL1",0,100
"91","WEL10",0,100
"92","WEL2",46.098319523351,53.901680476649
"93","WEL3",52.5329777368111,47.4670222631889
"94","WEL4",0,100
"95","WEL5",46.9944682954852,53.0055317045148
"96","WEL6",100,0
"97","WEL7",100,0
"98","WEL8",48.7675201579358,51.2324798420642
"99","WEL9",100,0
"100","WES1",48.2758620689655,51.7241379310345
